epoch,train loss,train acc,val loss,val acc,learning rate
0,1.4355911215146382,0.265625,1.5602792501449585,0.15625,0.0
1,1.4357336560885112,0.3020833333333333,1.6154340505599976,0.15625,1.111111111111111e-05
2,1.4751651386419933,0.265625,1.715639352798462,0.15625,2.222222222222222e-05
3,1.4166114429632823,0.328125,1.2780640721321106,0.53125,3.333333333333333e-05
4,1.4011340538660686,0.2864583333333333,1.3077186346054077,0.421875,4.444444444444444e-05
5,1.4084938367207844,0.2994791666666667,1.5500065684318542,0.140625,5.5555555555555545e-05
6,1.3817554712295532,0.296875,1.2889978289604187,0.46875,6.666666666666666e-05
7,1.3948065638542175,0.3046875,1.2698843479156494,0.53125,7.777777777777777e-05
8,1.3617822726567586,0.3515625,1.3103842735290527,0.46875,8.888888888888888e-05
9,1.3626289168993633,0.359375,1.3015872240066528,0.46875,9.999999999999999e-05
